Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200069102;CC Randon - Margeride;8.1
200069110;CA du Grand Chambéry;257
200069128;CC Mont Lozère;7.7
200069136;CC des Cévennes au Mont Lozère;8.1
200069144;CC des Hautes Terres de l'Aubrac;9.3
200069151;CC Gorges Causses Cévennes;7.7
200069169;CC Dômes Sancy Artense;18.2
200069177;CC Mond'Arverne Communauté;131.5
200069185;CC des Terres d'Apcher-Margeride-Aubrac;24.5
200069193;CC de la Dombes;61.9
200069227;CC Pays Fort Sancerrois Val de Loire;26.9
200069235;CC du Haut Pays du Montreuillois;37.4
200069250;CA Troyes Champagne Métropole;193.7
200069268;CC Aubrac Lot Causses Tarn;13.7
200069300;CA Tarbes-Lourdes-Pyrénées;202.9
200069383;CC Ouest Aveyron Communauté;41
200069391;CA Lamballe Terre et Mer;74.2
200069409;CA Saint-Brieuc Armor Agglomération;252.9
200069417;CC Pays d'Orthe et Arrigans;60.9
200069425;CA Mont-Saint-Michel-Normandie;56.9
200069433;CC de Vezouze en Piémont;26.4
200069441;CC du Pays de Bitche;56.6
200069458;CC des Vallées d'Auge et du Merlerault;27.4
200069482;CC des Campagnes de l'Artois;59.9
200069516;CC Seulles Terre et Mer;87.5
200069524;CC Pré-Bocage Intercom;59.4
200069532;CA Lisieux Normandie;77.5
200069540;CC Norge et Tille;127.5
200069565;CC des Lacs et Montagnes du Haut-Doubs;38.4
200069581;CC Convergence Garonne;104.2
200069599;CC Rurales de l'Entre-deux-Mers;37.1
200069615;CC Bresse Haute Seille;43.3
200069623;CC Champagnole Nozeroy Jura;36.4
200069631;CC Terres de Chalosse;58.1
200069649;CC Chalosse Tursan;44.4
200069656;CC Cœur Haute Lande;8.8
200069664;CC Meuse Rognon;12.8
200069672;CC du Ternois;60.2
200069698;CC Mâconnais - Tournugeois;72.2
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;46.4
200069730;CC des 4 Rivières;48.3
200069748;CC Val de Gâtine;38.8
200069755;CC Mellois en Poitou;37.1
200069763;CC du Haut-Poitou;60
200069821;CA Fécamp Caux Littoral Agglomération;186.6
200069839;CC de la Côte d'Albâtre;71.7
200069847;CC Plateau de Caux-Doudeville-Yerville;83.2
200069854;CU du Grand Poitiers;182.3
200069912;CC des Forêts du Perche;24.9
200069953;CC des Portes Euréliennes d'Île-de-France;121.3
200069961;CC du Grand Châteaudun;51.4
200069995;CC Médoc Cœur de Presqu'île;60.9
200070035;CC du Civraisien en Poitou;30.9
200070043;CC Vienne et Gartempe;19.7
200070068;CC Communauté Bray-Eawy;51.5
200070092;CA du Libournais;160.3
200070100;CC du Val de Sully;41.7
200070118;CC Val de Saône Centre;130.5
200070126;CC Seine et Aube;26.4
200070142;CC Lyons Andelle;75.4
