Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Population municipale 2019
200070126;CC Seine et Aube;10164
200070142;CC Lyons Andelle;20753
200070159;CC Cœur de Beauce;24456
200070167;CC Terres de Perche;14205
200070183;CC des Terres du Val de Loire;49013
200070233;CA Terres de Montaigu;49428
200070282;CC Lavalette Tude Dronne;17721
200070290;CC Coeur du Pays Haut;23230
200070308;CA Mâconnais Beaujolais Agglomération;78281
200070316;CC Entre Arroux, Loire et Somme;22056
200070324;CC du Territoire de Lunéville à Baccarat;40885
200070332;CC des Savoir-Faire;15160
200070340;CC Haute Maurienne Vanoise;8614
200070365;CC Corbières Salanque Méditerranée;23048
200070373;CC Loir-Lucé-Bercé;23745
200070407;CA Agglo Pays d'Issoire;56851
200070431;CC Saint-Marcellin Vercors Isère Communauté;44461
200070449;CC Inter-Caux-Vexin;55392
200070464;CC Cœur de Maurienne Arvan;14542
200070506;CC Pays de Nexon Monts de Chalus;13042
200070514;CA du Grand Cognac;69262
200070530;CC du Grand Autunois Morvan;35311
200070548;CC Brionnais Sud Bourgogne;15055
200070555;CC de la Veyle;22940
200070563;CC Terres Touloises;44441
200070571;CC Cœur de Berry;6874
200070589;CC de Seille et Grand Couronné;18750
200070647;CA Bergeracoise;60585
200070662;CC Bretagne porte de Loire Communauté;32191
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;23602
200070688;CC Couesnon Marches de Bretagne;21951
200070712;CC Thiers Dore et Montagne;37106
200070720;CC Médoc Atlantique;26866
200070738;CC Mad et Moselle;19916
200070746;CA Sarreguemines Confluences;64271
200070753;CA Riom Limagne et Volcans;67503
200070761;CC Ambert Livradois Forez;27571
200070779;CC Brie des Rivières et Châteaux;39557
200070787;CC du Plateau de Lannemezan;17765
200070795;CC du Pays de Trie et du Magnoac;6889
200070803;CC des Coteaux du Val d'Arros;11061
200070811;CC Pyrénées Vallées des Gaves;15334
200070829;CC Neste Barousse;7263
200070845;CC Orne Lorraine Confluences;53070
200070852;CC Usses et Rhône;20836
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;29758
200070902;CC Auxonne Pontailler Val de Saône;23404
200070910;CC Tille et Venelle;4958
200070928;CC Terre de Picardie;18233
200070936;CC Ponthieu-Marquenterre;32952
200070944;CC du Vimeu;22536
200070951;CC du Territoire Nord Picardie;31096
200070969;CC Avre Luce Noye;21883
200070977;CC du Grand Roye;25510
200070985;CC de l'Est de la Somme;20177
200070993;CA de la Baie de Somme;48930
200071017;CC des Terres d'Auxois;15762
200071025;CC Haute-Provence-Pays de Banon;9815
200071033;CC Jabron-Lure-Vançon-Durance;5215
200071041;CC du Chaourçois et du Val d'Armance;10450
200071058;CC Les Avant-Monts;27377
200071066;CA de Saint-Dié-des-Vosges;74424
200071074;CC Les Portes de l'Ile de France;22585
200071082;CA Montluçon Communauté;60617
200071116;CA ECLA  (Espace Communautaire Lons Agglomération);34189
200071140;CA Moulins Communauté;64458
200071165;CA Les Sables d'Olonne Agglomération;54258
200071173;CC du Pays Arnay Liernais;7089
200071181;CC Somme Sud-Ouest;38575
200071199;CC Plaine Limagne;21266
200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;8585
200071215;CC Chavanon Combrailles et Volcans;12658
200071223;CC Nièvre et Somme;27972
200071298;CC des Terres du Lauragais;40815
200071314;CC des Hauts Tolosans;34333
200071363;CA Vichy Communauté;82810
200071371;CC Bresse et Saône;25388
200071389;CC Saint-Pourçain Sioule Limagne;34063
200071405;CC Ardèche Rhône Coiron;23005
200071413;CA Privas Centre Ardèche;43792
200071454;CA Evreux Portes de Normandie;109967
200071470;CC Entr'Allier Besbre et Loire;24684
200071496;CC du Bocage Bourbonnais;13748
200071504;CC des Collines du Perche Normand;12153
200071512;CC Commentry Montmarault Néris Communauté;25771
200071520;CC Domfront Tinchebray Interco;15827
200071538;CC Terres de Bresse;22353
200071546;CC Sud Retz Atlantique;24939
