Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
200071082;CA Montluçon Communauté;837
200071116;CA ECLA  (Espace Communautaire Lons Agglomération);468
200071140;CA Moulins Communauté;849
200071165;CA Les Sables d'Olonne Agglomération;832
200071173;CC du Pays Arnay Liernais;117
200071181;CC Somme Sud-Ouest;454
200071199;CC Plaine Limagne;337
200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;122
200071215;CC Chavanon Combrailles et Volcans;200
200071223;CC Nièvre et Somme;276
200071298;CC des Terres du Lauragais;362
200071314;CC des Hauts Tolosans;265
200071363;CA Vichy Communauté;1172
200071371;CC Bresse et Saône;265
200071389;CC Saint-Pourçain Sioule Limagne;502
200071405;CC Ardèche Rhône Coiron;219
200071413;CA Privas Centre Ardèche;559
200071454;CA Evreux Portes de Normandie;1040
200071470;CC Entr'Allier Besbre et Loire;394
200071496;CC du Bocage Bourbonnais;224
200071504;CC des Collines du Perche Normand;216
200071512;CC Commentry Montmarault Néris Communauté;401
200071520;CC Domfront Tinchebray Interco;234
200071538;CC Terres de Bresse;307
200071546;CC Sud Retz Atlantique;287
200071553;CC Loire Layon Aubance;495
200071579;CC Bresse Louhannaise Intercom';409
200071587;CC Loches Sud Touraine;740
200071595;CC Arbois, Poligny, Salins, Cœur du Jura;307
200071629;CC Challans-Gois Communauté;538
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;115
200071652;CC du Pays Fertois et du Bocage Carrougien;66
200071678;CA Agglomération du Choletais;933
200071751;CA du Bassin de Bourg-en-Bresse;1376
200071769;CC Picardie des Châteaux;183
200071777;CC d'Arcis, Mailly, Ramerupt;150
200071785;CA Chauny-Tergnier-La Fère;704
200071819;CC du Périgord Nontronnais;237
200071827;CA du Grand Angoulême;1508
200071843;CC du Vexin Normand;320
200071850;CC du Pithiverais-Gâtinais;294
200071868;CC des Vallées du Haut-Anjou;303
200071876;CA Saumur Val de Loire;1023
200071884;CC Le Grand Charolais;561
200071892;CA du Saint-Quentinois;981
200071900;CC Vendée Grand Littoral;495
